pais,cantidad_redes_distintas
AGO,3
ARE,2
ARM,4
AUS,4
AUT,4
AZE,4
BEL,6
BGD,2
BGR,3
BOL,4
BRA,4
BRB,2
CAN,6
CHE,5
CHL,4
CHN,3
COL,2
CRI,3
CUB,3
CZE,3
DEU,3
DNK,4
DOM,3
DZA,4
ECU,4
EGY,3
ESP,6
ETH,3
FIN,2
FRA,3
GRB,6
GRC,3
GTM,4
HND,1
HUN,4
IDN,1
IND,4
IRL,3
ISR,3
ITA,5
JAM,3
JPN,4
KEN,4
KOR,3
KWT,1
LBN,3
MAR,3
MEX,5
MOZ,2
MYS,2
NGA,3
NIC,1
NLD,4
NOR,5
NZL,2
PAK,2
PAN,1
PER,3
PHL,4
POL,2
PRT,1
PRY,4
PSE,2
QAT,1
ROU,2
RUS,3
SAU,4
SEN,1
SGP,3
SLV,4
SRB,1
SWE,4
SYR,2
THA,2
TTO,2
TUN,5
TUR,3
UKR,3
URY,4
USA,7
VAT,5
VEN,4
VNM,3
ZAF,4
